exp_id,exercise,model_type,best_test_loss,best_epoch,created_at,finished_at,epochs,seq_len,batch_size,lr,hidden_dim,latent_dim,num_layers,dropout,early_stop_patience,json_file,output_dir,experiment_id,test_ratio,autoregressive,d_model,nhead,gpu_id
1a1eae1b,squat,rae,0.025997790608414145,13,2026-04-22T16:04:35.485773,2026-04-22T17:01:05.665077,100.0,25.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
6313c950,incline_bench_press,rae,0.04016500734357305,20,2026-04-22T14:38:45.285559,2026-04-22T14:42:38.561038,50.0,15.0,,,64.0,32.0,,,,,,,,,,,
0ebd2d56,romanian_deadlift,rae,0.17121789287024014,22,2026-04-22T14:45:41.661327,2026-04-22T14:52:24.431400,50.0,30.0,,,64.0,64.0,,,,,,,,,,,
31c9875c,lateral_raise,rae,0.03834676081683003,4,2026-04-22T14:11:26.129478,2026-04-22T14:16:26.784991,50.0,30.0,,,128.0,32.0,,,,,,,,,,,
1adfdeb2,russian_twist,rae,0.16739729606744014,2,2026-04-22T16:04:35.493556,2026-04-22T16:26:51.147803,100.0,35.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
de717136,chest_fly_machine,rae,0.03852252111348332,21,2026-04-22T14:53:07.103541,2026-04-22T14:56:12.333492,50.0,15.0,,,128.0,64.0,,,,,,,,,,,
ac5a2910,lat_pulldown,rae,0.1465282778241741,4,2026-04-22T16:04:35.487631,2026-04-22T16:21:07.427844,100.0,30.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
7f27fff1,chest_fly_machine,rae,0.01122535929640593,72,2026-04-22T16:04:35.481194,2026-04-22T16:23:04.057664,100.0,25.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
5594399b,plank,rae,0.3096949996924636,1,2026-04-22T15:05:22.665620,2026-04-22T15:10:00.204782,100.0,30.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
949f1b1f,lateral_raise,rae,0.038374550979245796,44,2026-04-22T15:05:22.663727,2026-04-22T15:19:56.828024,100.0,35.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
282b3c9e,t_bar_row,rae,0.05322881106583516,3,2026-04-22T15:05:22.669054,2026-04-22T15:13:38.498629,100.0,30.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
f10afe74,lateral_raise,rae,0.03892569084736434,10,2026-04-22T16:04:35.449587,2026-04-22T16:14:52.448897,100.0,35.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
4007a506,deadlift,rae,0.03787879403162315,16,2026-04-22T15:05:22.669642,2026-04-22T15:17:12.156230,100.0,30.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
0cf9ca15,lateral_raise,rae,0.005592997062761905,54,2026-04-22T15:05:22.662886,2026-04-22T15:21:28.878946,100.0,30.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
1503d278,chest_fly_machine,rae,0.03983564746393039,1,2026-04-22T15:05:22.672062,2026-04-22T15:26:20.322790,100.0,35.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
fb13b94d,push-up,rae,0.09593744465732668,87,2026-04-22T16:04:35.513836,2026-04-22T18:40:18.290187,100.0,35.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
05060462,lateral_raise,rae,0.039660944207303823,7,2026-04-22T15:06:53.896196,2026-04-22T15:12:41.457491,50.0,45.0,32.0,0.001,128.0,64.0,3.0,0.1,10.0,,,,,,,,
63332a05,t_bar_row,rae,0.005616776530852403,50,2026-04-22T14:27:50.593320,2026-04-22T14:33:03.236185,50.0,15.0,,,128.0,64.0,,,,,,,,,,,
b64af1fa,tricep_Pushdown,rae,0.08417112712385291,2,2026-04-22T16:04:35.494953,2026-04-22T16:28:27.084301,100.0,35.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
3a38367c,romanian_deadlift,rae,0.22346786413973535,18,2026-04-22T14:48:38.338877,2026-04-22T14:52:24.495629,50.0,15.0,,,128.0,64.0,,,,,,,,,,,
14c90580,romanian_deadlift,rae,0.2372019301695996,2,2026-04-22T16:04:35.480731,2026-04-22T16:15:20.683874,100.0,35.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
209a80e7,pull_Up,rae,0.03534016626898214,12,2026-04-22T16:04:35.482566,2026-04-22T16:17:32.306490,100.0,25.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
65cc6a41,chest_fly_machine,rae,0.03849335319241104,3,2026-04-22T15:05:22.671708,2026-04-22T15:24:44.705710,100.0,25.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
d3322bf2,lat_pulldown,rae,0.04740060456587296,67,2026-04-22T15:05:22.674194,2026-04-22T15:41:15.116533,100.0,25.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
79cb438d,lateral_raise,rae,0.038436714380895354,2,2026-04-22T14:41:05.899082,2026-04-22T14:43:31.187975,50.0,30.0,32.0,0.01,96.0,32.0,2.0,0.3,10.0,,,,,,,,
d7a0d6d9,decline_bench_press,rae,0.10243588898863111,30,2026-04-22T14:35:04.320374,2026-04-22T14:40:34.963416,50.0,30.0,,,64.0,64.0,,,,,,,,,,,
8946d46e,romanian_deadlift,rae,0.2392767771898982,2,2026-04-22T15:05:22.671520,2026-04-22T15:25:35.662353,100.0,35.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
9acf7c37,deadlift,rae,0.034636896641852405,14,2026-04-22T15:05:22.669458,2026-04-22T15:15:22.238779,100.0,25.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
28a99c47,deadlift,rae,0.0398319587474326,4,2026-04-22T16:04:35.456221,2026-04-22T16:08:18.500194,100.0,25.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
8c8481dc,decline_bench_press,rae,0.07087353776393315,28,2026-04-22T14:33:03.828857,2026-04-22T14:36:06.244925,50.0,15.0,,,64.0,32.0,,,,,,,,,,,
dbdb2862,tricep_dips,rae,0.13673619668362505,12,2026-04-22T16:04:35.512009,2026-04-22T16:36:43.476331,100.0,30.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
131193a1,deadlift,rae,0.07987830560477588,6,2026-04-22T16:04:35.457383,2026-04-22T16:09:18.721785,100.0,30.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
1feb0569,incline_bench_press,rae,0.094985542110456,3,2026-04-22T14:39:44.210339,2026-04-22T14:41:56.985419,50.0,15.0,,,64.0,64.0,,,,,,,,,,,
65907d94,decline_bench_press,rae,0.09597175063948933,9,2026-04-22T14:34:41.559727,2026-04-22T14:36:46.010251,50.0,15.0,,,64.0,64.0,,,,,,,,,,,
ecfd9e2e,incline_bench_press,rae,0.09482104645558663,2,2026-04-22T14:40:12.994114,2026-04-22T14:43:56.649231,50.0,30.0,,,64.0,64.0,,,,,,,,,,,
1fa912e2,plank,rae,0.30817846301758645,3,2026-04-22T16:04:35.451503,2026-04-22T16:11:58.739974,100.0,30.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
e60b0fda,lat_pulldown,rae,0.16625867568348585,3,2026-04-22T16:04:35.487167,2026-04-22T16:19:46.509988,100.0,25.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
19216fdb,barbell_biceps_curl,rae,0.013505461068192946,5,2026-04-22T16:04:35.495573,2026-04-22T16:56:33.023576,100.0,25.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
037652e2,pull_Up,rae,0.035172233975546606,1,2026-04-22T15:05:22.672698,2026-04-22T15:29:38.252922,100.0,35.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
5bb33c3c,incline_bench_press,rae,0.09777824111475025,16,2026-04-22T16:04:35.478673,2026-04-22T16:16:24.542267,100.0,30.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
7ed5c511,t_bar_row,rae,0.03847838091910507,4,2026-04-22T14:23:50.430728,2026-04-22T14:28:12.018516,50.0,30.0,,,64.0,64.0,,,,,,,,,,,
d526240f,incline_bench_press,rae,0.09518977207531025,1,2026-04-22T15:05:22.670951,2026-04-22T15:22:12.134683,100.0,35.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
8540f0e0,russian_twist,rae,0.16582238011395753,1,2026-04-22T16:04:35.492646,2026-04-22T16:24:07.305524,100.0,25.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
ffccfd37,lateral_raise,rae,0.002526643361585836,41,2026-04-22T15:43:01.182453,2026-04-22T15:48:23.484762,50.0,15.0,32.0,0.001,64.0,64.0,1.0,0.2,10.0,,,,,,,,
02d229c0,pull_Up,rae,0.03502847739210593,3,2026-04-22T15:05:22.672250,2026-04-22T15:26:45.868963,100.0,25.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
0e250c13,chest_fly_machine,rae,0.014515659903388536,49,2026-04-22T14:51:12.024737,2026-04-22T14:57:19.192738,50.0,30.0,,,64.0,32.0,,,,,,,,,,,
749db951,tricep_Pushdown,rae,0.27314666579751407,8,2026-04-22T16:04:35.494481,2026-04-22T16:28:31.483926,100.0,30.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
e8e73da1,barbell_biceps_curl,rae,0.013542627026948785,16,2026-04-22T16:04:35.496478,2026-04-22T17:21:52.608372,100.0,35.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
79e4f719,chest_fly_machine,rae,0.04075115696869345,12,2026-04-22T14:52:25.023841,2026-04-22T14:54:47.974106,50.0,15.0,,,128.0,32.0,,,,,,,,,,,
1bedef39,leg_raises,rae,0.08605141200614864,1,2026-04-22T16:04:35.483956,2026-04-22T16:15:46.686551,100.0,25.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
4b366428,plank,rae,0.24623838827272798,6,2026-04-22T15:05:22.666457,2026-04-22T15:11:47.303082,100.0,35.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
c62f86ba,leg_raises,rae,0.15695251921902514,2,2026-04-22T15:05:22.673257,2026-04-22T15:30:06.058546,100.0,35.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
fe6caa88,barbell_biceps_curl,rae,0.013459815549836806,3,2026-04-22T16:04:35.496022,2026-04-22T16:59:07.523732,100.0,30.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
6510923a,lateral_raise,rae,0.03831554686372308,3,2026-04-22T15:30:44.474592,2026-04-22T15:34:30.662225,50.0,45.0,32.0,0.01,96.0,32.0,2.0,0.3,10.0,,,,,,,,
d02c6b36,lateral_raise,rae,0.03810808189255369,7,2026-04-22T14:11:26.129369,2026-04-22T14:16:51.240212,50.0,30.0,,,64.0,32.0,,,,,,,,,,,
2c824b90,push-up,rae,0.27863081006037127,3,2026-04-22T16:04:35.513378,2026-04-22T17:00:41.117384,100.0,30.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
88906c13,lateral_raise,rae,0.03809088250001272,18,2026-04-22T14:11:26.129433,2026-04-22T14:16:20.858517,50.0,15.0,,,128.0,32.0,,,,,,,,,,,
3d7df541,decline_bench_press,rae,0.1330735842551763,19,2026-04-22T16:04:35.461969,2026-04-22T16:11:58.661783,100.0,35.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
c9d23d0e,t_bar_row,rae,0.035696070793720766,2,2026-04-22T14:25:45.641138,2026-04-22T14:28:11.996728,50.0,15.0,,,128.0,32.0,,,,,,,,,,,
d6270073,deadlift,rae,0.03180803198050311,2,2026-04-22T14:32:13.723692,2026-04-22T14:35:03.743539,50.0,30.0,,,128.0,64.0,,,,,,,,,,,
c1e6a730,lateral_raise,rae,0.03806213933322052,3,2026-04-22T14:01:18.103362,2026-04-22T14:06:51.146654,100.0,30.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,datasets/lateral_raise.json,models,,0.1,1.0,128.0,4.0,0.0
84eae135,leg_extension,rae,0.05982605317497955,4,2026-04-22T16:04:35.489920,2026-04-22T16:20:40.510319,100.0,25.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
9bac2683,incline_bench_press,rae,0.09471587148996499,3,2026-04-22T16:04:35.479316,2026-04-22T16:14:32.316117,100.0,35.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
6bc0d009,lateral_raise,rae,0.037459799357586435,1,2026-04-22T14:11:26.129292,2026-04-22T14:14:11.552083,50.0,15.0,,,64.0,64.0,,,,,,,,,,,
aa390d39,deadlift,rae,0.017328618093562936,41,2026-04-22T14:30:36.542923,2026-04-22T14:36:43.535767,50.0,30.0,,,64.0,64.0,,,,,,,,,,,
8bc77607,decline_bench_press,rae,0.13953708659090092,12,2026-04-22T16:04:35.458917,2026-04-22T16:09:02.511398,100.0,25.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
2482c0b5,romanian_deadlift,rae,0.2364852054359651,2,2026-04-22T15:05:22.671148,2026-04-22T15:22:48.207346,100.0,25.0,32.0,0.005,128.0,64.0,2.0,0.2,20.0,,,,,,,,
