Exercise,Rank,Model,Test Loss,Epoch,Exp ID,Params
barbell_biceps_curl,1,rae,0.013460,3,fe6caa88,"seq_len=30, lr=0.005, hidden_dim=128, latent_dim=64, dropout=0.2"
barbell_biceps_curl,2,rae,0.013505,5,19216fdb,"seq_len=25, lr=0.005, hidden_dim=128, latent_dim=64, dropout=0.2"
bench_press,1,rae,0.134453,1,a51fd9d8,"seq_len=35, lr=0.005, hidden_dim=128, latent_dim=64, dropout=0.2"
bench_press,2,rae,0.134882,2,1ece58f5,"seq_len=30, lr=0.005, hidden_dim=128, latent_dim=64, dropout=0.2"
chest_fly_machine,1,rae,0.011225,72,7f27fff1,"seq_len=25, lr=0.005, hidden_dim=128, latent_dim=64, dropout=0.2"
chest_fly_machine,2,rae,0.014516,49,0e250c13,"hidden_dim=64, latent_dim=32, seq_len=30"
deadlift,1,rae,0.008130,47,5285696a,"hidden_dim=64, latent_dim=64, seq_len=15"
deadlift,2,rae,0.017329,41,aa390d39,"hidden_dim=64, latent_dim=64, seq_len=30"
decline_bench_press,1,rae,0.070874,28,8c8481dc,"hidden_dim=64, latent_dim=32, seq_len=15"
decline_bench_press,2,rae,0.083634,29,026109e4,"hidden_dim=64, latent_dim=32, seq_len=30"
hammer_curl,1,rae,0.414918,36,594de936,"seq_len=25, lr=0.005, hidden_dim=128, latent_dim=64, dropout=0.2"
hammer_curl,2,rae,0.535651,2,97af107b,"seq_len=35, lr=0.005, hidden_dim=128, latent_dim=64, dropout=0.2"
hip_thrust,1,rae,0.076615,1,58cee1d3,"seq_len=35, lr=0.005, hidden_dim=128, latent_dim=64, dropout=0.2"
hip_thrust,2,rae,0.077802,3,d64e0979,"seq_len=25, lr=0.005, hidden_dim=128, latent_dim=64, dropout=0.2"
incline_bench_press,1,rae,0.040165,20,6313c950,"hidden_dim=64, latent_dim=32, seq_len=15"
incline_bench_press,2,rae,0.045118,18,eff11253,"hidden_dim=128, latent_dim=64, seq_len=15"
lat_pulldown,1,rae,0.047401,67,d3322bf2,"seq_len=25, lr=0.005, hidden_dim=128, latent_dim=64, dropout=0.2"
lat_pulldown,2,rae,0.057989,75,f4466b82,"seq_len=30, lr=0.005, hidden_dim=128, latent_dim=64, dropout=0.2"
lateral_raise,1,rae,0.002339,33,b23ba40c,"hidden_dim=64, latent_dim=64, seq_len=15, lr=0.001, dropout=0.2"
lateral_raise,2,rae,0.002507,27,02252a1f,"hidden_dim=64, latent_dim=64, seq_len=15, lr=0.001, dropout=0.2"
leg_extension,1,rae,0.059826,4,84eae135,"seq_len=25, lr=0.005, hidden_dim=128, latent_dim=64, dropout=0.2"
leg_extension,2,rae,0.071300,1,ed3c93ce,"seq_len=30, lr=0.005, hidden_dim=128, latent_dim=64, dropout=0.2"
leg_raises,1,rae,0.086051,1,1bedef39,"seq_len=25, lr=0.005, hidden_dim=128, latent_dim=64, dropout=0.2"
leg_raises,2,rae,0.088125,3,edff710b,"seq_len=30, lr=0.005, hidden_dim=128, latent_dim=64, dropout=0.2"
plank,1,rae,0.087610,11,06629309,"hidden_dim=64, latent_dim=64, seq_len=15"
plank,2,rae,0.088931,27,792770ee,"hidden_dim=64, latent_dim=32, seq_len=15"
pull_Up,1,rae,0.035028,3,02d229c0,"seq_len=25, lr=0.005, hidden_dim=128, latent_dim=64, dropout=0.2"
pull_Up,2,rae,0.035051,1,e25d8a81,"seq_len=30, lr=0.005, hidden_dim=128, latent_dim=64, dropout=0.2"
push-up,1,rae,0.095937,87,fb13b94d,"seq_len=35, lr=0.005, hidden_dim=128, latent_dim=64, dropout=0.2"
push-up,2,rae,0.278631,3,2c824b90,"seq_len=30, lr=0.005, hidden_dim=128, latent_dim=64, dropout=0.2"
romanian_deadlift,1,rae,0.093644,41,0ddc26ee,"hidden_dim=64, latent_dim=64, seq_len=15"
romanian_deadlift,2,rae,0.097690,40,36e5f07a,"hidden_dim=128, latent_dim=32, seq_len=15"
russian_twist,1,rae,0.165822,1,8540f0e0,"seq_len=25, lr=0.005, hidden_dim=128, latent_dim=64, dropout=0.2"
russian_twist,2,rae,0.167253,7,bbac24a6,"seq_len=30, lr=0.005, hidden_dim=128, latent_dim=64, dropout=0.2"
shoulder_press,1,rae,0.044988,9,bff4aece,"seq_len=30, lr=0.005, hidden_dim=128, latent_dim=64, dropout=0.2"
shoulder_press,2,rae,0.045105,19,8ee43a91,"seq_len=25, lr=0.005, hidden_dim=128, latent_dim=64, dropout=0.2"
squat,1,rae,0.025772,6,945f7d0b,"seq_len=35, lr=0.005, hidden_dim=128, latent_dim=64, dropout=0.2"
squat,2,rae,0.025998,13,1a1eae1b,"seq_len=25, lr=0.005, hidden_dim=128, latent_dim=64, dropout=0.2"
t_bar_row,1,rae,0.005617,50,63332a05,"hidden_dim=128, latent_dim=64, seq_len=15"
t_bar_row,2,rae,0.005853,48,fcd233d4,"hidden_dim=64, latent_dim=64, seq_len=15"
tricep_Pushdown,1,rae,0.084171,2,b64af1fa,"seq_len=35, lr=0.005, hidden_dim=128, latent_dim=64, dropout=0.2"
tricep_Pushdown,2,rae,0.088152,9,75fe8a52,"seq_len=25, lr=0.005, hidden_dim=128, latent_dim=64, dropout=0.2"
tricep_dips,1,rae,0.132105,4,4f93e1a2,"seq_len=25, lr=0.005, hidden_dim=128, latent_dim=64, dropout=0.2"
tricep_dips,2,rae,0.136736,12,dbdb2862,"seq_len=30, lr=0.005, hidden_dim=128, latent_dim=64, dropout=0.2"
