JSON file: datasets/chest_fly_machine.json
Run timestamp: 20260420_183107
Parameters:
  data_dir: datasets
  output_base: models
  seq_len: 30
  batch_size: 32
  hidden_size: 128
  latent_size: 64
  num_layers: 2
  lr: 0.005
  epochs: 100
  test_ratio: 0.1
  log_interval: 10

Input size: 11
Total frames: 5069
Train sequences: 4439
Test sequences: 570

Best epoch: 85 | Test Loss: 0.022795

Epoch	Train Loss	Test Loss
1	0.072129	0.041397
2	0.067039	0.041884
3	0.066949	0.043476
4	0.063315	0.043081
5	0.044704	0.041469
6	0.049835	0.040792
7	0.046739	0.041920
8	0.039904	0.044910
9	0.048285	0.041882
10	0.067064	0.043142
11	0.066574	0.043363
12	0.066473	0.044924
13	0.066383	0.043412
14	0.066382	0.042662
15	0.066399	0.043471
16	0.066469	0.042575
17	0.066402	0.043060
18	0.066355	0.043691
19	0.066283	0.042921
20	0.066289	0.042679
21	0.066221	0.042439
22	0.074177	0.043952
23	0.062963	0.042993
24	0.051930	0.040394
25	0.046554	0.040499
26	0.045366	0.040026
27	0.045159	0.041175
28	0.044984	0.040493
29	0.044781	0.039758
30	0.044572	0.039925
31	0.044603	0.039987
32	0.055020	0.049383
33	0.050858	0.043168
34	0.046863	0.038788
35	0.040661	0.039347
36	0.044384	0.041204
37	0.040613	0.044937
38	0.039033	0.043131
39	0.038224	0.040713
40	0.037098	0.040397
41	0.035348	0.036488
42	0.033843	0.035148
43	0.032754	0.033854
44	0.032170	0.033712
45	0.031733	0.033177
46	0.031555	0.032645
47	0.031263	0.031769
48	0.031048	0.032601
49	0.030759	0.030344
50	0.031021	0.029266
51	0.031008	0.031072
52	0.030660	0.031159
53	0.030599	0.030315
54	0.030457	0.030529
55	0.030712	0.030658
56	0.030632	0.030259
57	0.030231	0.029195
58	0.029978	0.030006
59	0.029885	0.029211
60	0.030001	0.029094
61	0.029556	0.029917
62	0.029466	0.030078
63	0.029302	0.031385
64	0.029143	0.032017
65	0.028838	0.031368
66	0.029191	0.030657
67	0.027013	0.029566
68	0.025324	0.026940
69	0.024181	0.026615
70	0.023631	0.025790
71	0.023212	0.026217
72	0.022884	0.025323
73	0.022676	0.025248
74	0.022704	0.025196
75	0.022106	0.026093
76	0.021962	0.025005
77	0.022157	0.025363
78	0.021884	0.026280
79	0.021551	0.025113
80	0.021168	0.024882
81	0.021116	0.024877
82	0.021632	0.024207
83	0.021843	0.024004
84	0.021578	0.024029
85	0.021595	0.022795
86	0.021412	0.024209
87	0.020623	0.024191
88	0.020575	0.024399
89	0.020243	0.024448
90	0.019549	0.024536
91	0.019119	0.024487
92	0.018698	0.023978
93	0.018635	0.024180
94	0.018447	0.024161
95	0.018436	0.023848
96	0.018395	0.023845
97	0.018246	0.023968
98	0.018201	0.024209
99	0.018121	0.024057
100	0.018042	0.024173
