JSON file: datasets/deadlift.json
Run timestamp: 20260420_172745
Parameters:
  data_dir: datasets
  output_base: models
  seq_len: 30
  batch_size: 32
  hidden_size: 128
  latent_size: 64
  num_layers: 2
  lr: 0.005
  epochs: 100
  test_ratio: 0.1
  log_interval: 10

Input size: 11
Total frames: 5127
Train sequences: 4456
Test sequences: 611

Best epoch: 4 | Test Loss: 0.073878

Epoch	Train Loss	Test Loss
1	0.193789	0.093288
2	0.191950	0.085587
3	0.191476	0.081563
4	0.191277	0.073878
5	0.191675	0.093802
6	0.191237	0.089158
7	0.191307	0.083339
8	0.190917	0.087055
9	0.190986	0.084738
10	0.190904	0.103269
11	0.190800	0.087125
12	0.190817	0.091347
13	0.190723	0.087813
14	0.190611	0.089665
15	0.190793	0.086603
16	0.190750	0.090078
17	0.190545	0.082579
18	0.190560	0.096514
19	0.190624	0.086299
20	0.190538	0.087947
21	0.190554	0.084401
22	0.190689	0.090933
23	0.190483	0.086874
24	0.190522	0.090423
25	0.190520	0.090953
26	0.190522	0.088977
27	0.190545	0.091233
28	0.190527	0.085817
29	0.190493	0.087930
30	0.190465	0.086652
31	0.190472	0.089865
32	0.190475	0.087433
33	0.190467	0.088099
34	0.190488	0.088939
35	0.190451	0.088854
36	0.190442	0.088632
37	0.190438	0.088516
38	0.190441	0.088001
39	0.190446	0.089023
40	0.190449	0.088489
41	0.190434	0.088733
42	0.190431	0.088431
43	0.190432	0.088568
44	0.190433	0.088401
45	0.190428	0.088525
46	0.190442	0.088630
47	0.190423	0.088313
48	0.190423	0.088339
49	0.190427	0.088457
50	0.190423	0.088514
51	0.190422	0.088590
52	0.190425	0.088556
53	0.190419	0.088522
54	0.190420	0.088454
55	0.190419	0.088351
56	0.190419	0.088378
57	0.190420	0.088326
58	0.190420	0.088366
59	0.190418	0.088353
60	0.190417	0.088352
61	0.190417	0.088322
62	0.190419	0.088375
63	0.190418	0.088323
64	0.190417	0.088359
65	0.190416	0.088322
66	0.190415	0.088376
67	0.190415	0.088355
68	0.190416	0.088352
69	0.190415	0.088357
70	0.190415	0.088366
71	0.190415	0.088360
72	0.190415	0.088347
73	0.190415	0.088348
74	0.190415	0.088363
75	0.190415	0.088380
76	0.190415	0.088368
77	0.190414	0.088366
78	0.190415	0.088373
79	0.190414	0.088375
80	0.190414	0.088365
81	0.190415	0.088377
82	0.190414	0.088374
83	0.190414	0.088374
84	0.190414	0.088376
85	0.190414	0.088371
86	0.190414	0.088372
87	0.190414	0.088374
88	0.190414	0.088372
89	0.190414	0.088374
90	0.190414	0.088373
91	0.190414	0.088372
92	0.190414	0.088376
93	0.190414	0.088375
94	0.190414	0.088375
95	0.190414	0.088375
96	0.190414	0.088375
97	0.190414	0.088375
98	0.190414	0.088375
99	0.190414	0.088374
100	0.190414	0.088375
