JSON file: datasets/decline_bench_press.json
Run timestamp: 20260420_174210
Parameters:
  data_dir: datasets
  output_base: models
  seq_len: 30
  batch_size: 32
  hidden_size: 128
  latent_size: 64
  num_layers: 2
  lr: 0.005
  epochs: 100
  test_ratio: 0.1
  log_interval: 10

Input size: 11
Total frames: 4808
Train sequences: 4020
Test sequences: 728

Best epoch: 13 | Test Loss: 0.160700

Epoch	Train Loss	Test Loss
1	0.123609	0.168846
2	0.117868	0.165783
3	0.117652	0.162945
4	0.117597	0.171309
5	0.117458	0.173551
6	0.117443	0.167569
7	0.117193	0.171034
8	0.117253	0.174574
9	0.117302	0.172010
10	0.116917	0.170528
11	0.116857	0.163816
12	0.116867	0.171176
13	0.116999	0.160700
14	0.117071	0.164530
15	0.116855	0.166777
16	0.116897	0.171691
17	0.116841	0.168029
18	0.116930	0.169351
19	0.117056	0.167705
20	0.116727	0.169437
21	0.116711	0.167858
22	0.116809	0.169353
23	0.116761	0.165403
24	0.116789	0.168102
25	0.116721	0.170567
26	0.116711	0.168153
27	0.116653	0.165076
28	0.116656	0.169930
29	0.116669	0.166727
30	0.116684	0.171317
31	0.116721	0.164605
32	0.116649	0.166727
33	0.116644	0.167550
34	0.116640	0.167717
35	0.116661	0.166836
36	0.116650	0.167050
37	0.116644	0.164944
38	0.116644	0.166451
39	0.116609	0.167500
40	0.116612	0.166930
41	0.116627	0.167042
42	0.116639	0.166867
43	0.116627	0.167040
44	0.116601	0.167044
45	0.116605	0.167070
46	0.116599	0.167368
47	0.116598	0.166981
48	0.116604	0.167387
49	0.116605	0.166962
50	0.116594	0.167083
51	0.116594	0.166944
52	0.116595	0.166807
53	0.116595	0.166996
54	0.116596	0.167010
55	0.116593	0.167113
56	0.116592	0.167047
57	0.116590	0.167106
58	0.116592	0.167089
59	0.116592	0.167009
60	0.116589	0.167048
61	0.116589	0.167038
62	0.116587	0.167019
63	0.116588	0.167029
64	0.116587	0.167002
65	0.116588	0.167018
66	0.116588	0.166989
67	0.116587	0.167008
68	0.116586	0.167015
69	0.116585	0.167009
70	0.116586	0.167017
71	0.116585	0.167011
72	0.116586	0.167027
73	0.116586	0.167040
74	0.116586	0.167026
75	0.116585	0.167038
76	0.116585	0.167027
77	0.116585	0.167028
78	0.116585	0.167025
79	0.116585	0.167040
80	0.116585	0.167036
81	0.116585	0.167037
82	0.116585	0.167037
83	0.116585	0.167041
84	0.116585	0.167038
85	0.116585	0.167040
86	0.116584	0.167038
87	0.116585	0.167039
88	0.116585	0.167037
89	0.116584	0.167039
90	0.116584	0.167039
91	0.116584	0.167044
92	0.116584	0.167042
93	0.116584	0.167042
94	0.116584	0.167042
95	0.116584	0.167042
96	0.116584	0.167042
97	0.116584	0.167042
98	0.116584	0.167042
99	0.116584	0.167042
100	0.116584	0.167042
