JSON file: datasets/incline_bench_press.json
Run timestamp: 20260420_175451
Parameters:
  data_dir: datasets
  output_base: models
  seq_len: 30
  batch_size: 32
  hidden_size: 128
  latent_size: 64
  num_layers: 2
  lr: 0.005
  epochs: 100
  test_ratio: 0.1
  log_interval: 10

Input size: 11
Total frames: 7027
Train sequences: 5649
Test sequences: 1318

Best epoch: 18 | Test Loss: 0.059546

Epoch	Train Loss	Test Loss
1	0.087949	0.096370
2	0.072339	0.097990
3	0.068260	0.094861
4	0.062737	0.090962
5	0.061530	0.088561
6	0.059938	0.087726
7	0.057471	0.091947
8	0.057120	0.085046
9	0.055076	0.075784
10	0.054579	0.077731
11	0.051303	0.070682
12	0.050389	0.070287
13	0.048925	0.073327
14	0.046448	0.067659
15	0.044904	0.064351
16	0.043627	0.073131
17	0.043579	0.069794
18	0.042470	0.059546
19	0.042045	0.064777
20	0.041124	0.065592
21	0.040958	0.071389
22	0.040590	0.070347
23	0.040583	0.067958
24	0.039320	0.065550
25	0.037296	0.072467
26	0.035855	0.067939
27	0.034980	0.069751
28	0.034259	0.068366
29	0.033534	0.067696
30	0.032674	0.070646
31	0.031416	0.068554
32	0.030888	0.069652
33	0.030199	0.072159
34	0.029931	0.074113
35	0.029606	0.076400
36	0.029578	0.074913
37	0.028332	0.074964
38	0.027893	0.075608
39	0.027796	0.075376
40	0.027559	0.076562
41	0.027353	0.076518
42	0.027028	0.077465
43	0.026453	0.078288
44	0.026221	0.079378
45	0.026086	0.079913
46	0.025943	0.080025
47	0.025887	0.079673
48	0.025651	0.080400
49	0.025333	0.080318
50	0.025222	0.080240
51	0.025180	0.079873
52	0.025055	0.080836
53	0.025016	0.080721
54	0.024917	0.082017
55	0.024778	0.081055
56	0.024714	0.081022
57	0.024672	0.081280
58	0.024640	0.081978
59	0.024603	0.081602
60	0.024560	0.081902
61	0.024490	0.082030
62	0.024457	0.081957
63	0.024438	0.081984
64	0.024419	0.082273
65	0.024402	0.081970
66	0.024385	0.081803
67	0.024342	0.082019
68	0.024331	0.082482
69	0.024314	0.082364
70	0.024307	0.082240
71	0.024299	0.082182
72	0.024291	0.082283
73	0.024265	0.082341
74	0.024259	0.082346
75	0.024254	0.082414
76	0.024250	0.082392
77	0.024246	0.082245
78	0.024240	0.082439
79	0.024229	0.082390
80	0.024227	0.082342
81	0.024224	0.082304
82	0.024221	0.082473
83	0.024219	0.082350
84	0.024216	0.082391
85	0.024210	0.082441
86	0.024209	0.082417
87	0.024207	0.082449
88	0.024207	0.082447
89	0.024205	0.082374
90	0.024204	0.082434
91	0.024201	0.082430
92	0.024200	0.082441
93	0.024199	0.082446
94	0.024199	0.082439
95	0.024198	0.082433
96	0.024198	0.082430
97	0.024196	0.082429
98	0.024196	0.082431
99	0.024195	0.082433
100	0.024195	0.082436
