JSON file: datasets/lateral_raise.json
Run timestamp: 20260420_161751
Parameters:
  data_dir: datasets
  output_base: models
  seq_len: 30
  batch_size: 32
  hidden_size: 128
  latent_size: 64
  num_layers: 2
  lr: 0.005
  epochs: 100
  test_ratio: 0.1
  log_interval: 10

Input size: 11
Total frames: 8360
Train sequences: 7415
Test sequences: 885

Best epoch: 98 | Test Loss: 0.013710

Epoch	Train Loss	Test Loss
1	0.067796	0.044329
2	0.064973	0.040645
3	0.062781	0.038285
4	0.052571	0.038518
5	0.051857	0.036019
6	0.048564	0.036494
7	0.043736	0.035047
8	0.049253	0.031495
9	0.054603	0.040247
10	0.051308	0.036374
11	0.045956	0.033145
12	0.044358	0.032604
13	0.043925	0.033635
14	0.043147	0.032789
15	0.041713	0.031139
16	0.041563	0.034961
17	0.041223	0.030003
18	0.040536	0.029868
19	0.038969	0.031054
20	0.038096	0.025289
21	0.036893	0.025066
22	0.036859	0.023674
23	0.037256	0.024693
24	0.037558	0.024763
25	0.035614	0.022527
26	0.035709	0.024058
27	0.035715	0.022964
28	0.036101	0.022677
29	0.035161	0.023288
30	0.034457	0.022478
31	0.033607	0.021864
32	0.033691	0.021992
33	0.034561	0.025856
34	0.033672	0.021618
35	0.033695	0.022746
36	0.032719	0.022269
37	0.032539	0.021335
38	0.031547	0.023179
39	0.032455	0.021406
40	0.032081	0.022118
41	0.032280	0.021889
42	0.031238	0.022142
43	0.032078	0.022135
44	0.030798	0.023208
45	0.030505	0.021147
46	0.029765	0.020145
47	0.027457	0.016948
48	0.026465	0.016135
49	0.025867	0.015271
50	0.025375	0.015311
51	0.025189	0.016374
52	0.024765	0.015579
53	0.024688	0.016541
54	0.024342	0.015470
55	0.024254	0.016158
56	0.023519	0.015076
57	0.023096	0.016483
58	0.022823	0.015902
59	0.022367	0.016600
60	0.022050	0.015756
61	0.021444	0.016716
62	0.020925	0.015712
63	0.020074	0.016943
64	0.019497	0.015981
65	0.019303	0.016246
66	0.019127	0.015565
67	0.018773	0.015315
68	0.018514	0.015199
69	0.018105	0.014981
70	0.017903	0.015154
71	0.017741	0.015107
72	0.017632	0.014601
73	0.017578	0.015012
74	0.017320	0.014977
75	0.017249	0.014567
76	0.017142	0.014363
77	0.017080	0.014788
78	0.016876	0.014488
79	0.016796	0.015250
80	0.016735	0.014772
81	0.016580	0.014307
82	0.016500	0.014379
83	0.016402	0.014506
84	0.016421	0.014106
85	0.016368	0.014171
86	0.016144	0.013954
87	0.016142	0.014197
88	0.015936	0.014260
89	0.015815	0.013745
90	0.015738	0.013869
91	0.015918	0.014239
92	0.015553	0.013892
93	0.015589	0.013804
94	0.015537	0.013821
95	0.015304	0.013776
96	0.015166	0.013761
97	0.015036	0.014044
98	0.015002	0.013710
99	0.014985	0.013882
100	0.014909	0.013737
