JSON file: datasets/lateral_raise.json
Run timestamp: 20260420_195819
Parameters:
  data_dir: datasets
  output_base: models
  seq_len: 30
  batch_size: 32
  hidden_size: 128
  latent_size: 64
  num_layers: 2
  dropout: 0.2
  lr: 0.005
  epochs: 100
  test_ratio: 0.1
  log_interval: 10
  early_stop_patience: 15
  min_conf: None

Input size: 11
Total frames: 8360
Train sequences: 7415
Test sequences: 885

Best epoch: 20 | Test Loss: 0.039224

Epoch	Train Loss	Test Loss
1	0.067601	0.043224
2	0.065239	0.042236
3	0.064950	0.041457
4	0.064772	0.043105
5	0.064831	0.039696
6	0.064749	0.041825
7	0.064747	0.040890
8	0.064742	0.039786
9	0.064752	0.040948
10	0.064769	0.043177
11	0.064717	0.041424
12	0.064650	0.041443
13	0.064641	0.039343
14	0.064662	0.040711
15	0.064644	0.041860
16	0.064644	0.040521
17	0.064629	0.040533
18	0.064568	0.040923
19	0.064614	0.040960
20	0.064577	0.039224
21	0.064629	0.039412
22	0.064537	0.041091
23	0.064613	0.039927
24	0.064595	0.039854
25	0.064506	0.042279
26	0.064595	0.039852
27	0.064538	0.040546
28	0.064564	0.040548
29	0.064562	0.040499
30	0.064572	0.040438
31	0.065294	0.042048
32	0.065604	0.040798
33	0.064808	0.041428
34	0.064663	0.039573
35	0.064562	0.040541
