JSON file: datasets/lateral_raise.json
Date: 2026-04-20 16:13:32.846945
Parameters:
  data_dir: datasets
  output_base: models
  seq_len: 15
  batch_size: 32
  hidden_size: 128
  latent_size: 64
  num_layers: 2
  lr: 0.001
  epochs: 100
  test_ratio: 0.1
  log_interval: 10

Input size: 11
Total frames: 8360
Train sequences: 7430
Test sequences: 900

Best epoch: 64 | Test Loss: 0.093252

Epoch	Train Loss	Test Loss
1	0.350352	0.103509
2	0.160231	0.099868
3	0.160495	0.099659
4	0.160464	0.096552
5	0.160549	0.097247
6	0.160316	0.099257
7	0.160765	0.101922
8	0.160137	0.103918
9	0.160432	0.096288
10	0.160503	0.098765
11	0.160851	0.101555
12	0.160304	0.097425
13	0.160626	0.115368
14	0.160888	0.106471
15	0.160695	0.101037
16	0.160929	0.099312
17	0.160565	0.111981
18	0.161056	0.103903
19	0.160743	0.099023
20	0.160613	0.098307
21	0.160642	0.097882
22	0.160330	0.100297
23	0.160586	0.106868
24	0.161082	0.109743
25	0.160326	0.095920
26	0.160465	0.097619
27	0.160259	0.102053
28	0.160521	0.105970
29	0.160220	0.098230
30	0.160608	0.098512
31	0.160653	0.110071
32	0.160408	0.103912
33	0.160586	0.099525
34	0.160713	0.099628
35	0.160862	0.097725
36	0.160036	0.099277
37	0.160319	0.102439
38	0.160305	0.098394
39	0.160865	0.096223
40	0.160599	0.096601
41	0.160421	0.102604
42	0.160395	0.102457
43	0.160772	0.109856
44	0.160869	0.101703
45	0.160819	0.096076
46	0.160662	0.103678
47	0.160336	0.094516
48	0.160142	0.105487
49	0.160331	0.107454
50	0.160775	0.097194
51	0.160813	0.103485
52	0.160346	0.094949
53	0.160233	0.098612
54	0.161035	0.099140
55	0.161101	0.105467
56	0.160427	0.099856
57	0.160096	0.105679
58	0.160845	0.108372
59	0.160620	0.098595
60	0.160341	0.106210
61	0.160713	0.099010
62	0.161143	0.099055
63	0.160276	0.101778
64	0.160337	0.093252
65	0.159988	0.099129
66	0.160319	0.099075
67	0.160533	0.101827
68	0.160070	0.101486
69	0.160652	0.094701
70	0.160460	0.106677
71	0.160535	0.095759
72	0.160927	0.101681
73	0.160792	0.103089
74	0.160733	0.107453
75	0.160344	0.097457
76	0.160764	0.095101
77	0.160536	0.096568
78	0.160840	0.095012
79	0.160865	0.101458
80	0.160364	0.103782
81	0.160356	0.105030
82	0.160099	0.095990
83	0.160822	0.098710
84	0.160161	0.108103
85	0.160539	0.098193
86	0.160502	0.095564
87	0.160497	0.103520
88	0.160556	0.101575
89	0.160627	0.107271
90	0.160320	0.101301
91	0.160342	0.096477
92	0.160493	0.099705
93	0.160239	0.101809
94	0.160501	0.098851
95	0.160836	0.101201
96	0.160887	0.106375
97	0.160706	0.096069
98	0.160713	0.104754
99	0.160577	0.109348
100	0.160377	0.099332
