JSON file: datasets/plank.json
Run timestamp: 20260420_164147
Parameters:
  data_dir: datasets
  output_base: models
  seq_len: 30
  batch_size: 32
  hidden_size: 128
  latent_size: 64
  num_layers: 2
  lr: 0.005
  epochs: 100
  test_ratio: 0.1
  log_interval: 10

Input size: 11
Total frames: 9858
Train sequences: 7778
Test sequences: 2020

Best epoch: 36 | Test Loss: 0.219964

Epoch	Train Loss	Test Loss
1	0.126073	0.315495
2	0.123165	0.320154
3	0.104405	0.264978
4	0.099661	0.280376
5	0.101026	0.261958
6	0.101158	0.273613
7	0.100898	0.267359
8	0.101010	0.266022
9	0.105648	0.266360
10	0.105945	0.266927
11	0.106152	0.267353
12	0.105948	0.270936
13	0.110131	0.325836
14	0.122557	0.326037
15	0.122551	0.324286
16	0.122544	0.328379
17	0.122508	0.325006
18	0.122490	0.323944
19	0.122468	0.327375
20	0.122497	0.324360
21	0.122466	0.322905
22	0.122480	0.324914
23	0.122503	0.327543
24	0.122448	0.324702
25	0.122459	0.325468
26	0.122427	0.324673
27	0.122448	0.323827
28	0.122448	0.325953
29	0.122451	0.323249
30	0.122419	0.326288
31	0.122423	0.326035
32	0.122426	0.325217
33	0.122421	0.325482
34	0.122428	0.325296
35	0.111536	0.233589
36	0.061752	0.219964
37	0.053088	0.223971
38	0.050815	0.242647
39	0.048682	0.240354
40	0.049127	0.232491
41	0.047370	0.238035
42	0.046793	0.244205
43	0.045827	0.235943
44	0.045087	0.231664
45	0.044857	0.237386
46	0.043994	0.227231
47	0.043119	0.225223
48	0.042999	0.235768
49	0.041792	0.225533
50	0.041229	0.234086
51	0.041042	0.230967
52	0.040772	0.233675
53	0.040357	0.225225
54	0.040230	0.230522
55	0.039609	0.226808
56	0.039624	0.225507
57	0.039555	0.224160
58	0.039573	0.226005
59	0.039481	0.227981
60	0.039130	0.227531
61	0.038845	0.227648
62	0.038839	0.224363
63	0.038711	0.226544
64	0.038696	0.224768
65	0.038601	0.228581
66	0.038507	0.227948
67	0.038360	0.224852
68	0.038279	0.227135
69	0.038291	0.224719
70	0.038224	0.226989
71	0.038185	0.223087
72	0.038144	0.225043
73	0.038078	0.227193
74	0.038028	0.225528
75	0.038057	0.225236
76	0.038022	0.227168
77	0.038006	0.226517
78	0.037983	0.226693
79	0.037943	0.225161
80	0.037921	0.225606
81	0.037927	0.226332
82	0.037898	0.226012
83	0.037885	0.226252
84	0.037892	0.225053
85	0.037859	0.225108
86	0.037855	0.225936
87	0.037843	0.225502
88	0.037840	0.225981
89	0.037848	0.225067
90	0.037832	0.225603
91	0.037823	0.225512
92	0.037816	0.225671
93	0.037825	0.225428
94	0.037813	0.225551
95	0.037815	0.225631
96	0.037808	0.225914
97	0.037800	0.225747
98	0.037802	0.225711
99	0.037802	0.225713
100	0.037800	0.225960
