JSON file: datasets/romanian_deadlift.json
Run timestamp: 20260420_181235
Parameters:
  data_dir: datasets
  output_base: models
  seq_len: 30
  batch_size: 32
  hidden_size: 128
  latent_size: 64
  num_layers: 2
  lr: 0.005
  epochs: 100
  test_ratio: 0.1
  log_interval: 10

Input size: 11
Total frames: 6535
Train sequences: 5806
Test sequences: 669

Best epoch: 1 | Test Loss: 0.235383

Epoch	Train Loss	Test Loss
1	0.230437	0.235383
2	0.226654	0.242841
3	0.226398	0.245995
4	0.226658	0.239622
5	0.221310	0.246243
6	0.187909	0.249724
7	0.177550	0.242787
8	0.176201	0.239473
9	0.176236	0.246708
10	0.176118	0.246877
11	0.176129	0.242981
12	0.176038	0.251153
13	0.176144	0.244157
14	0.175795	0.246850
15	0.175847	0.241159
16	0.175846	0.243693
17	0.175940	0.246455
18	0.175831	0.242700
19	0.175756	0.241285
20	0.175808	0.243146
21	0.175735	0.245096
22	0.175775	0.244815
23	0.175785	0.244246
24	0.175716	0.245007
25	0.175746	0.248102
26	0.175666	0.245225
27	0.175658	0.244583
28	0.175678	0.245506
29	0.175664	0.244915
30	0.175667	0.245059
31	0.175649	0.246234
32	0.175635	0.244609
33	0.175615	0.245703
34	0.175623	0.245547
35	0.175620	0.244505
36	0.175633	0.244944
37	0.175628	0.244749
38	0.175599	0.244657
39	0.175600	0.244826
40	0.175604	0.244845
41	0.175601	0.244879
42	0.175603	0.244894
43	0.175602	0.244880
44	0.175583	0.244891
45	0.175585	0.244796
46	0.175583	0.244921
47	0.175587	0.244941
48	0.175585	0.244996
49	0.175587	0.244947
50	0.175577	0.244925
51	0.175576	0.244942
52	0.175576	0.244908
53	0.175576	0.244946
54	0.175577	0.244904
55	0.175578	0.244972
56	0.175574	0.244960
57	0.175573	0.244999
58	0.175574	0.244956
59	0.175573	0.244972
60	0.175573	0.244949
61	0.175573	0.244934
62	0.175572	0.244935
63	0.175571	0.244959
64	0.175571	0.244928
65	0.175571	0.244943
66	0.175571	0.244948
67	0.175571	0.244954
68	0.175570	0.244955
69	0.175570	0.244952
70	0.175570	0.244948
71	0.175570	0.244947
72	0.175570	0.244945
73	0.175570	0.244941
74	0.175569	0.244941
75	0.175570	0.244938
76	0.175569	0.244938
77	0.175569	0.244938
78	0.175570	0.244933
79	0.175569	0.244935
80	0.175569	0.244937
81	0.175569	0.244937
82	0.175569	0.244937
83	0.175569	0.244938
84	0.175569	0.244939
85	0.175569	0.244940
86	0.175569	0.244939
87	0.175569	0.244939
88	0.175569	0.244939
89	0.175569	0.244939
90	0.175569	0.244939
91	0.175569	0.244939
92	0.175569	0.244939
93	0.175569	0.244939
94	0.175569	0.244939
95	0.175569	0.244939
96	0.175569	0.244939
97	0.175569	0.244939
98	0.175569	0.244939
99	0.175569	0.244939
100	0.175569	0.244939
