JSON file: datasets/t_bar_row.json
Run timestamp: 20260420_170706
Parameters:
  data_dir: datasets
  output_base: models
  seq_len: 30
  batch_size: 32
  hidden_size: 128
  latent_size: 64
  num_layers: 2
  lr: 0.005
  epochs: 100
  test_ratio: 0.1
  log_interval: 10

Input size: 11
Total frames: 7216
Train sequences: 6389
Test sequences: 767

Best epoch: 80 | Test Loss: 0.022491

Epoch	Train Loss	Test Loss
1	0.091715	0.036108
2	0.077230	0.036071
3	0.076617	0.040271
4	0.076668	0.039303
5	0.074730	0.041117
6	0.074408	0.035963
7	0.074378	0.036694
8	0.074455	0.035998
9	0.076788	0.037203
10	0.076524	0.039059
11	0.076696	0.037511
12	0.076615	0.038458
13	0.076334	0.036037
14	0.076277	0.035651
15	0.076313	0.035817
16	0.076382	0.038922
17	0.076347	0.037195
18	0.076314	0.037639
19	0.076284	0.040330
20	0.076323	0.036351
21	0.076160	0.036123
22	0.076131	0.037503
23	0.076125	0.036711
24	0.076185	0.036991
25	0.076139	0.037207
26	0.076160	0.036994
27	0.076079	0.037043
28	0.076071	0.037385
29	0.076037	0.037350
30	0.076036	0.037006
31	0.076036	0.037058
32	0.076027	0.035690
33	0.076046	0.036944
34	0.075996	0.036923
35	0.076000	0.036992
36	0.076980	0.035895
37	0.077570	0.035337
38	0.077534	0.035849
39	0.077548	0.035961
40	0.077560	0.034966
41	0.077568	0.035539
42	0.077561	0.035760
43	0.077582	0.035477
44	0.077586	0.035655
45	0.077570	0.035249
46	0.077586	0.035385
47	0.077545	0.035441
48	0.077549	0.035565
49	0.077588	0.035453
50	0.077612	0.035567
51	0.077607	0.035824
52	0.077643	0.035508
53	0.077625	0.035511
54	0.077619	0.035476
55	0.077649	0.035513
56	0.077940	0.035434
57	0.079155	0.034952
58	0.081633	0.034356
59	0.081432	0.034258
60	0.077968	0.031325
61	0.065648	0.028610
62	0.060296	0.027067
63	0.054801	0.026028
64	0.041360	0.025280
65	0.039799	0.024934
66	0.038419	0.023974
67	0.038160	0.023769
68	0.037212	0.023387
69	0.036204	0.023536
70	0.035797	0.023891
71	0.035628	0.023397
72	0.034415	0.023343
73	0.033511	0.023258
74	0.032297	0.022972
75	0.031427	0.022978
76	0.030782	0.022624
77	0.029697	0.022789
78	0.029248	0.024283
79	0.028776	0.024711
80	0.028473	0.022491
81	0.027743	0.023288
82	0.027471	0.023545
83	0.026415	0.025361
84	0.027482	0.026181
85	0.027903	0.028531
86	0.027446	0.027757
87	0.028155	0.027482
88	0.028033	0.026995
89	0.027918	0.027270
90	0.027229	0.027674
91	0.027195	0.027381
92	0.026736	0.026831
93	0.026188	0.026953
94	0.026070	0.026848
95	0.025858	0.026896
96	0.025752	0.026606
97	0.025667	0.026751
98	0.025560	0.026418
99	0.025447	0.026483
100	0.025344	0.026458
