Exercise,Rank,Test Loss,Epoch,Run
barbell_biceps_curl,1,0.006176,2,run_20260420_223355
bench_press,1,0.044416,68,run_20260420_224833
chest_fly_machine,1,0.022795,85,run_20260420_183107
deadlift,1,0.007389,93,run_20260422_103647
deadlift,2,0.007623,79,run_20260422_094847
decline_bench_press,1,0.160700,13,run_20260420_174210
hammer_curl,1,0.364831,94,run_20260420_225814
incline_bench_press,1,0.059546,18,run_20260420_175451
lateral_raise,1,0.002784,86,run_20260421_180124
lateral_raise,2,0.002952,26,run_20260420_212400
plank,1,0.078829,9,run_20260422_003852
plank,2,0.080989,9,run_20260421_232906
romanian_deadlift,1,0.235383,1,run_20260420_181235
russian_twist,1,0.053506,70,run_20260420_233634
t_bar_row,1,0.003891,96,run_20260422_053021
t_bar_row,2,0.004208,96,run_20260422_045138
